台灣0309,#genre#
cnex,http://61.58.60.230:9319/live/257.m3u8
CYC世新綜合,http://61.58.60.230:9319/live/49.m3u8
原住民族電視,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
幸福空間,http://61.58.60.230:9319/live/80.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv/chunklist_w1474469129.m3u8
民視,http://seb.sason.top/ptv/ftv.php?id=ms#rtmp://59.124.75.156/sat/tv051#http://153.99.180.70:5021/live/450/playlist.m3u8#vjms://58.215.133.185:8500:3502/live/cid=450
台視,rtmp://59.124.75.156/sat/tv071#mitv://fccseuro.pvbox.live:18912/5b14095f000570be7d87f46e1fdec9ae.ts
*中視,rtmp://59.124.75.156:1935/sat/tv091#mitv://fccsovh.pvbox.live:18912/5c2dd743000549bf6154a8985cd9ca6d.ts#http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8#mitv://fccsovh.pvbox.live:18912/5b14095f00075e71dbcaee608f5a7f3c.ts#mitv://fccsovh.pvbox.live:18912/5c72484b000b1d091d51edb7087b7686.ts
*華視,rtmp://59.124.75.156:1935/sat/tv111#http://192.154.103.75:8080/ZZ_huashi/ZZ_huashi.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd7470006324161ec704805b9e422.ts#http://104.250.154.42:8080/ZZ_huashi/ZZ_huashi.m3u8#mitv://fccseuro.pvbox.live:18912/5c2dd7470006324161ec704805b9e422.ts
大爱二台,http://61.58.60.230:9319/live/191.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛電視台,http://61.58.60.230:9319/live/10.m3u8#https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛海外台,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
大愛_印尼台,http://210.210.155.35/qwr9ew/s/s13/index2.m3u8
民視綜藝,http://seb.sason.top/ptv/ftv.php?id=zy
民視影劇,http://seb.sason.top/ptv/ftv.php?id=yj
民視旅遊,http://seb.sason.top/ptv/ftv.php?id=ly
民視第一,http://seb.sason.top/ptv/ftv.php?id=dy#http://p06.iptv2asia.com:18888/http/014
民視臺灣,http://seb.sason.top/ptv/ftv.php?id=tw#http://p06.iptv2asia.com:18888/http/013#http://185.93.2.35:12012/live/359111068247FFA1/LeniXlwULzB03VBsGh1xh853-haVT6kqEhOWenHryHc_D4xY8O8Db4E7l3zoIXLg/1725D3A0FE504365/831459.ts
生命電視台,http://61.216.67.119/lifetv/LTV1/playlist.m3u8
*國家地理,rtmp://58.200.131.2:1935/livetv/natlgeo#http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gjdl#vjms://58.215.133.184:8500:3502/live/cid=115#rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo#vjms://153.99.180.75:8500:5021/live/cid=115
探索頻道,,vjms://58.215.133.184:8500:3502/live/cid=440#rtmp://ivi.bupt.edu.cn:1935/livetv/discovery#rtmp://58.200.131.3:1935/livetv/discovery
靖洋卡通,http://61.58.60.230:9319/live/206.m3u8
靖天卡通,http://61.58.60.230:9319/live/207.m3u8
----,vjms://23.237.115.18:8500:3502/live/cid=344
----,mitv://147.135.39.171:9906/5defe14000091d616eba47377b3a16c4.ts
Cinemax 576,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cinemax
AXN 576,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=axn
*金鹰卡通,rtmp://ivi.bupt.edu.cn:1935/livetv/jykttv
Baby First,https://livecdn.fptplay.net/qnetlive/babyfirst_hls.smil/chunklist_b2500000.m3u8
Asian Food Network,https://livecdn.fptplay.net/world/afchd_hls.smil/chunklist_b2500000.m3u8
*STAR SPORTS,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
TVBS歡樂台,rtmp://59.124.75.156:1935/sat/tv421
緯來育樂台,rtmp://59.124.75.156:1935/sat/tv701#mitv://fccsovh.pvbox.live:18912/5b14092c000a35b5b875ce840ff0b5a3.ts
HBL高中籃球聯賽,https://modfree-hamivideo.cdn.hinet.net/out/u/live/gop4/cht/hamitv-event028/hls-ae-tv/index.m3u8
NBA體育台,https://modfree-hamivideo.cdn.hinet.net/out/u/live/gop4/cht/hamitv-event038/hls-ae-tv/index.m3u8
緯來體育台,rtmp://59.124.75.156:1935/sat/tv721#vjms://23.237.115.18:8500:3502/live/cid=102#rtmp://161.202.204.248:1935/sat/tv771
東森超視,rtmp://59.124.75.156:1935/sat/tv771
靖天娛樂,http://61.58.60.230:9319/live/204.m3u8
靖天日本,http://61.58.60.230:9319/live/243.m3u8
靖天映画,http://61.58.60.230:9319/live/244.m3u8
靖天歡樂,http://61.58.60.230:9319/live/201.m3u8
靖洋戲劇,http://61.58.60.230:9319/live/203.m3u8
中天综合,mitv://fccsovh.pvbox.live:18912/5b14096a0007d345099b2cab04de36b4#http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
momo綜合台,rtmp://59.124.75.156:1935/sat/tv761
國興衛視,http://anbo.hicloud.co/index.php?id=65#vjms://153.99.180.75:8500:5021/live/cid=424#vjms://23.237.115.18:8500:3502/live/cid=424#mitv://147.135.39.171:9906/5cc692b80007c375faf4b274502c5f68.ts
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8
----,http://153.99.180.70:5021/live/455/playlist.m3u8#http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd76000032856525d0ee781504477.ts#http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8#mitv://fccsovh.pvbox.live:18912/5b1409fd000a726908ab5c9c5950d2f2.ts
*東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8#vjms://122.155.180.8:8500:3502/live/cid=340#mitv://fccsovh.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2.ts#http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8#http://seb.sason.top/sc/dsxw_fhd.m3u8#http://ldpc.ld0766.club/tvb.php?id=dsxw
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd72e0002527b8513c4ec41b6e9f5.ts#http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8#mitv://fccsovh.pvbox.live:18912/5c2dd72e0002527ba0c6fb284f0b9861.ts#rtmp://161.202.204.248:1935/sat/tv521
民視新聞,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8#http://210.61.56.23/hls/ftvtv/index.m3u8#http://210.61.56.23/hls/ftvtv/index.m3u8##p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts#http://seb.sason.top/sc/msxw_fhd.m3u8
三立新聞,http://seb.sason.top/sc/sllive_fhd.m3u8#http://60.199.188.61/HLS/WG_ETTV-N/01.m3u8
TVBS新聞,rtmp://59.124.75.156:1935/sat/tv551#http://60.199.188.61/HLS/WG_TVBS-N/01.m3u8
TVBS綜合,http://anbo.hicloud.co/index.php?id=16
----,http://153.99.180.70:5021/live/443/playlist.m3u8
三立iNEWS,http://seb.sason.top/sc/slinews_fhd.m3u8
三立LIVE新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
寰宇新闻台,http://seb.sason.top/sc/hyxw.m3u8#mitv://fccsovh.pvbox.live:18912/5b1408f30005adec057583980131e1ee#mitv://147.135.39.171:9906/5cc68d1700042feefadeb4a262de7324.ts
*----,http://125.227.210.37:61738/VideoInput/play.ts
*----,http://117.169.72.135:8080/PLTV/88888888/224/3221225658/1.m3u8
東森財經新聞,http://seb.sason.top/sc/dscjxw_fhd.m3u8#rtmp://59.124.75.156:1935/sat/tv571
*-----,http://live5.ocnttv.com:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8#vjms://23.237.115.18:8500:3502/live/cid=338#http://104.250.154.42:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8#http://192.154.103.75:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
天映頻道,http://45.126.83.51/qwr9ew/s/s33/01.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
天映频道,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映频道(粵),http://210.210.155.35/qwr9ew/s/s33/01.m3u8
BBC Earth,https://livecdn.fptplay.net/qnetlive/bbcearth_hls.smil/chunklist_b2500000.m3u8
FOX Business,https://gma2.blab.email/espnu.m3u8
AMC最愛電影,mitv://ns2.hellotvvod.com:9906/5fc4e5220004e7d242b5ae895d4d61c8.ts
CatchPlay電影台,mitv://ns2.hellotvvod.com:9906/5fbe640a0004f803294d68c96e964443.ts
凤凰电影 576,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhdy
HBO 576,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hbo
HBOHD 720,rtmp://59.124.75.156/sat/tv731
HBOHD2-720,rtmp://59.124.75.156/sat/tv741
博斯网球 720,rtmp://59.124.75.156/sat/md011
博斯魅力 720,rtmp://59.124.75.156/sat/md031
ELEVEN2 480,rtmp://59.124.75.156/sat/md051
CBS2 720,rtmp://59.124.75.156/sat/us011
FS1 480,rtmp://59.124.75.156/sat/us031
FOX 480,rtmp://59.124.75.156/sat/us091
ABC 480,rtmp://59.124.75.156/sat/us101
HBO HD,vjms://153.99.180.75:8500:5021/live/cid=261#vjms://58.215.133.189:8500/live/cid=261
HBO,https://liveorigin01.hbogoasia.com:8443/origin/live/main/HBO/index.m3u8
HBO Family,https://liveorigin01.hbogoasia.com:8443/origin/live/main/FAMILY/index.m3u8
HBO Hits,https://liveorigin01.hbogoasia.com:8443/origin/live/main/HITS/index.m3u8
HBO Signature,https://liveorigin01.hbogoasia.com:8443/origin/live/main/SIG/index.m3u8
Discovery,https://livecdn.fptplay.net/qnetlive/discovery_hls.smil/chunklist_b2500000.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
HBO,vjms://23.237.115.18:8500:3502/live/cid=261
HBO亞洲,vjms://153.99.180.75:8500:5021/live/cid=261#vjms://58.215.133.154:8500/live/cid=261
HBO強檔,vjms://153.99.180.75:8500:5021/live/cid=238#vjms://23.237.115.18:8500:3502/live/cid=238
*HBO溫馨,http://153.99.180.70:5021/live/181/playlist.m3u8#vjms://153.99.180.75:8500:5021/live/cid=181#vjms://23.237.115.18:8500:3502/live/cid=181
HBO原创,vjms://58.215.133.184:8500:3502/live/cid=436
Fox Sports 1 Asia,https://livecdn.fptplay.net/qnetlive/foxsports_hls.smil/chunklist_b2500000.m3u8
Fox Sports 2 Asia,https://livecdn.fptplay.net/qnetlive/foxsports2_2000.stream/chunklist.m3u8
Fox Sports 3 Asia,https://livecdn.fptplay.net/qnetlive/foxsports3_hls.smil/chunklist_b2500000.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225667/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8
峨眉电影HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
凤凰电影台,rtmp://58.200.131.2/livetv/fhdy
七彩戲劇,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
----,vjms://58.215.133.184:8500:3502/live/cid=2#vjms://23.237.115.18:8500:3502/live/cid=2#http://106.54.30.243/gz009/gz.php?id=axn#vjms://58.215.133.185:8500:3502/live/cid=2
----,mitv://147.135.39.171:9906/5defdaa0000d7e3f6ea0675076d26f43.ts
*----,http://220.158.149.28:8180/TV00000000000000000068@HHZT;LIVE
*----,http://220.158.149.26:8182/hls/TV00000000000000000066@HHZT.m3u8
*----,http://220.158.149.28:8180/TV00000000000000000067@HHZT;LIVE
衛視電影,mitv://fccsovh.pvbox.live:18912/5b140960000aafcc8d3e6ffa720314ad#http://103.47.132.164/PLTV/88888888/224/3221227147/index.m3u8
CHC家庭影院,http://125.210.152.21:9120/live/JTYYHD.m3u8#http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225927/index.m3u8#http://125.210.152.18:9090/live/JTYYHD_H265.m3u8#http://cbnlive.cbchot.com/live/CHCFM_1.m3u8?123#rtmp://58.200.131.2:1935/livetv/chctv#http://pili-live-hls.fssh.tianma3600.com/fssh/fsds.m3u8#http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225927/index.m3u8#https://www.fanmingming.cn/hls/chctv.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8#http://cbnlive.cbchot.com/live/CHCAM_1.m3u8?123#rtmp://58.200.131.2:1935/livetv/chcatv
CHC高清电影,http://125.210.152.18:9090/live/CHCGQDY.m3u8#http://cbnlive.cbchot.com/live/yt_chc_h_1.m3u8?123#http://ivi.bupt.edu.cn/hls/chchd.m3u8#http://192.154.103.75:8080/ZZ_chcgaoqing/ZZ_chcgaoqing.m3u8#https://www.fanmingming.cn/hls/chchd.m3u8
*CCTV-6电影,rtmp://58.200.131.2:1935/livetv/cctv6
*CCTV-5體育,rtmp://58.200.131.2:1935/livetv/cctv5#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8
iHOT爱影院,http://101.71.255.229:6610/zjhs/2/10116/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱悬疑,http://101.71.255.229:6610/zjhs/2/10104/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Newtv超级电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225717/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
*亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
----,http://520574.xyz/dl/gt.php?id=4gtvlive1
----,http://520574.xyz/dl/gt.php?id=4gtvlive2
*----,mitv://147.135.39.171:9906/5d9a3718000bb2899ce3db2404476f62.ts
國會頻道1,http://61.58.60.230:9319/live/123.m3u8
國會頻道2,http://61.58.60.230:9319/live/124.m3u8
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
momo綜合台,rtmp://59.124.75.156:1935/sat/tv761
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
優視卫视,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8
----,http://live-hwcdn.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4.m3u8
----,http://live-hwcdn.utvlive.top/live/551a1a8c3aca46708fd285217be3c96e/4538203d786e4803bac20e36392cffd9.m3u8
----,http://live-hwcdn.utvlive.top/live/a4e8cf74196e40959485a9ef4c532d02/6286b2bbb78341cd9fa92c7b37ccc03c.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
世紀综合,http://61.58.60.230:9319/live/49.m3u8
希望電視台,http://bcliveuniv-lh.akamaihd.net/i/Live_1@384161/index_1200_av-p.m3u8?sd=10&rebase=on#http://bcliveuniv-lh.akamaihd.net/i/Live_1@384161/master.m3u8
GOODTV好消息,http://live.streamingfast.net/osmflivech1.m3u8
好消息台2台,http://live.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
CH24 劉三講古,https://live.streamingfast.net/osmflivech24.m3u8
CH25 福氣人生,https://live.streamingfast.net/osmflivech25.m3u8
----,http://211.21.214.7:8808/live/dali/index.m3u8
上德電視台,http://flv.ccdntech.com/live/_definst_/mp4:vod150_Live/live/playlist.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
孝廉電視台,http://cdn257.ccdntech.com/live-http/_definst_/vod257_Live/live/playlist.m3u8
佛衛慈悲台,http://btsu4k5-hisng.cdn.hinet.net/live/pool/btsLive2/hievent-hls/btsLive2.m3u8#http://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/playlist.m3u8
台湾佛教,rtmp://hk2.hwadzan.com/liveedgelist/livetv
*儒釋道電視台,https://tw2.amtb.de/liveedge/_definst_/livetv/playlist.m3u8
*儒釋道台語頻道,https://tw3.amtb.de/liveedge/_definst_/wdmaster/playlist.m3u8
生命電視台,http://211.73.19.201/live/E6290DC0-BE6A-B7C4-79F5-114BDB417F9E.m3u8?fmt=x264_500K_ts&cpid=admin&size=1280X720
星空衛視,rtmp://58.200.131.2:1935/livetv/startv
國家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
探索頻道,rtmp://58.200.131.2:1935/livetv/discovery
StarSports體育,rtmp://58.200.131.2:1935/livetv/starsports
CHANNEL[V],rtmp://58.200.131.2:1935/livetv/channelv
英国MTV,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/master.m3u8
美國Newsmax TV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
美國JTV購物,http://wowzaprod134-i.akamaihd.net/hls/live/577814/ccddaf02/playlist.m3u8
美國Weather Nation,http://cdnapi.kaltura.com/p/931702/sp/93170200/playManifest/entryId/1_oorxcge2/format/applehttp/protocol/http/uiConfId/28428751/a.m3u8
亞美衛視,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
香港開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
香港創世電視,https://cdn.deepcore.online/hlsme/ctv_hk_1080.m3u8
東森購物60,https://broadcast-ettoday.cdn.hinet.net/ettoday-broadcast/smil:etmall2.smil/playlist.m3u8
東森購物47,https://broadcast-ettoday.cdn.hinet.net/ettoday-broadcast/smil:etmall4.smil/playlist.m3u8
東森購物34,https://broadcast-ettoday.cdn.hinet.net/ettoday-broadcast/smil:etmall3.smil/playlist.m3u8
東森購物46,https://broadcast-ettoday.cdn.hinet.net/ettoday-broadcast/smil:etmall1.smil/playlist.m3u8
衛視音樂,https://www.fanmingming.cn/hls/channelv.m3u8#rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
----,http://125.227.210.37:43868/VideoInput/play.ts#vjms://58.215.133.189:8500/live/cid=103#mitv://51.79.41.138:18912/5b13f6f10002d2ef9b9d5ab37df052ce.ts#mitv://190.2.149.54:18912/5b13f6f10002d2ef9b9d5ab37df052ce.ts
靖天資訊,http://61.58.60.230:9319/live/202.m3u8
靖天國際,http://61.58.60.230:9319/live/205.m3u8
居家幸福,http://61.58.60.230:9319/live/125.m3u8
電影推薦,https://modfree-hamivideo.cdn.hinet.net/out/u/live/gop4/cht/hamitv-event024/hls-ae-tv/index.m3u8
----,vjms://58.215.133.185:8500:3502/live/cid=450#mitv://fccseuro.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0.ts

中國0816,#genre#
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#rtmp://58.200.131.2:1935/livetv/cctv1
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8#rtmp://58.200.131.2:1935/livetv/cctv2
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8#rtmp://58.200.131.2:1935/livetv/cctv3
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#rtmp://58.200.131.2:1935/livetv/cctv4
CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8
CCTV5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV-7HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
